row_type,variant,attack_type,case_count,asr,dsr,clean_success_rate,far,precision,recall,f1,perception_attack_recall,long_tail_recall,reflection_contamination_recall,logic_trap_recall,leakage_block_rate,avg_latency_ms,p95_latency_ms,avg_raw_latency_ms,p95_raw_latency_ms,avg_audit_depth,avg_audit_calls,avg_modeled_audit_latency_ms,delta_asr_vs_full,delta_far_vs_full,stage_pass,notes
variant,full_system,ALL,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.72587,82.7289,1.349058,2.915,2.956522,0.57971,46.376812,0.0,0.0,False,
attack_type,full_system,adversarial_suffix,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.642542,3.3929,1.642542,3.3929,2.0,0.0,0.0,0.0,0.0,False,
attack_type,full_system,clean,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.247586,6.3401,1.247586,6.3401,0.0,0.0,0.0,0.0,0.0,False,
attack_type,full_system,fake_system,10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.57491,2.915,1.57491,2.915,2.0,0.0,0.0,0.0,0.0,False,
attack_type,full_system,html_hidden,14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,81.593871,82.8496,1.593871,2.8496,4.0,1.0,80.0,0.0,0.0,False,
attack_type,full_system,leakage,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,80.50378,80.8368,0.50378,0.8368,4.0,1.0,80.0,0.0,0.0,False,
attack_type,full_system,logic_trap,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,80.49352,80.7386,0.49352,0.7386,4.0,1.0,80.0,0.0,0.0,False,
attack_type,full_system,mixed,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,80.503925,80.5364,0.503925,0.5364,4.0,1.0,80.0,0.0,0.0,False,
attack_type,full_system,plain,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,81.631325,82.9623,1.631325,2.9623,4.0,1.0,80.0,0.0,0.0,False,
variant,no_sliding_window,ALL,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.612903,0.0,1.0,1.0,1.0,46.96919,80.8555,0.592378,0.8915,2.797101,0.57971,46.376812,0.0,0.0,False,
attack_type,no_sliding_window,adversarial_suffix,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.660558,0.9629,0.660558,0.9629,1.5,0.0,0.0,0.0,0.0,False,
attack_type,no_sliding_window,clean,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326243,0.3978,0.326243,0.3978,0.0,0.0,0.0,0.0,0.0,False,
attack_type,no_sliding_window,fake_system,10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.67874,1.0364,0.67874,1.0364,1.5,0.0,0.0,0.0,0.0,False,
attack_type,no_sliding_window,html_hidden,14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,80.659729,80.8899,0.659729,0.8899,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_sliding_window,leakage,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,80.48728,80.6151,0.48728,0.6151,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_sliding_window,logic_trap,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,80.50372,80.6376,0.50372,0.6376,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_sliding_window,mixed,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,80.504575,80.539,0.504575,0.539,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_sliding_window,plain,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,80.6389,80.8555,0.6389,0.8555,4.0,1.0,80.0,0.0,0.0,False,
variant,no_rules_ppl_features,ALL,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.306452,0.208333,1.0,1.0,1.0,46.737081,80.6187,0.36027,0.6871,2.637681,0.57971,46.376812,0.0,0.0,False,
attack_type,no_rules_ppl_features,adversarial_suffix,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.442617,0.7185,0.442617,0.7185,1.0,0.0,0.0,0.0,0.0,False,
attack_type,no_rules_ppl_features,clean,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274157,0.8724,0.274157,0.8724,0.0,0.0,0.0,0.0,0.0,False,
attack_type,no_rules_ppl_features,fake_system,10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.42307,0.6874,0.42307,0.6874,1.0,0.0,0.0,0.0,0.0,False,
attack_type,no_rules_ppl_features,html_hidden,14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,80.402557,80.6494,0.402557,0.6494,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_rules_ppl_features,leakage,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,80.16978,80.1743,0.16978,0.1743,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_rules_ppl_features,logic_trap,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,80.24736,80.3441,0.24736,0.3441,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_rules_ppl_features,mixed,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,80.237675,80.3157,0.237675,0.3157,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_rules_ppl_features,plain,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,80.393767,80.6445,0.393767,0.6445,4.0,1.0,80.0,0.0,0.0,False,
variant,no_reflective_intent,ALL,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,47.675359,82.951,1.298548,2.951,2.782609,0.57971,46.376812,0.0,0.0,False,
attack_type,no_reflective_intent,adversarial_suffix,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.568708,2.9265,1.568708,2.9265,1.0,0.0,0.0,0.0,0.0,False,
attack_type,no_reflective_intent,clean,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315586,0.3422,0.315586,0.3422,0.0,0.0,0.0,0.0,0.0,False,
attack_type,no_reflective_intent,fake_system,10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.64253,2.9489,1.64253,2.9489,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_reflective_intent,html_hidden,14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,81.683829,83.6128,1.683829,3.6128,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_reflective_intent,leakage,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,80.41252,80.4354,0.41252,0.4354,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_reflective_intent,logic_trap,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,80.51282,80.5756,0.51282,0.5756,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_reflective_intent,mixed,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,80.811825,81.1833,0.811825,1.1833,4.0,1.0,80.0,0.0,0.0,False,
attack_type,no_reflective_intent,plain,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,81.724442,83.5674,1.724442,3.5674,4.0,1.0,80.0,0.0,0.0,False,
variant,no_logic_leakage_experts,ALL,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.737978,80.4326,1.100297,2.4908,1.855072,0.057971,4.637681,0.0,0.0,False,
attack_type,no_logic_leakage_experts,adversarial_suffix,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.372433,2.4824,1.372433,2.4824,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_logic_leakage_experts,clean,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310171,0.3874,0.310171,0.3874,0.0,0.0,0.0,0.0,0.0,False,
attack_type,no_logic_leakage_experts,fake_system,10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.42019,2.4855,1.42019,2.4855,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_logic_leakage_experts,html_hidden,14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.47525,2.6116,1.47525,2.6116,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_logic_leakage_experts,leakage,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.32286,0.3457,0.32286,0.3457,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_logic_leakage_experts,logic_trap,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.40378,0.4567,0.40378,0.4567,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_logic_leakage_experts,mixed,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,80.4509,80.4646,0.4509,0.4646,3.0,1.0,80.0,0.0,0.0,False,
attack_type,no_logic_leakage_experts,plain,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.415658,2.4908,1.415658,2.4908,2.0,0.0,0.0,0.0,0.0,False,
variant,no_dynamic_arbitration,ALL,69,0.0,1.0,1.0,0.142857,0.984127,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.203857,2.7273,1.203857,2.7273,1.623188,0.0,0.0,0.0,0.142857,False,
attack_type,no_dynamic_arbitration,adversarial_suffix,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.556483,2.8354,1.556483,2.8354,1.0,0.0,0.0,0.0,0.0,False,
attack_type,no_dynamic_arbitration,clean,7,0.0,0.0,1.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3184,0.4029,0.3184,0.4029,0.0,0.0,0.0,0.0,0.142857,False,
attack_type,no_dynamic_arbitration,fake_system,10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.57059,2.8923,1.57059,2.8923,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_dynamic_arbitration,html_hidden,14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.569779,2.7273,1.569779,2.7273,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_dynamic_arbitration,leakage,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.37966,0.3864,0.37966,0.3864,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_dynamic_arbitration,logic_trap,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.43356,0.45,0.43356,0.45,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_dynamic_arbitration,mixed,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.515475,0.54,0.515475,0.54,2.0,0.0,0.0,0.0,0.0,False,
attack_type,no_dynamic_arbitration,plain,12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.529058,2.7145,1.529058,2.7145,2.0,0.0,0.0,0.0,0.0,False,
stage_gate,full_system,ALL,69,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.72587,82.7289,1.349058,2.915,2.956522,0.57971,46.376812,0.0,0.0,True,P7.5 ablation study passed
