row_type,policy,risk_level,sample_count,avg_risk_score,allow_rate,sanitize_rate,audit_action_rate,block_rate,audit_rate,avg_audit_depth,max_audit_depth,avg_audit_count,avg_llm_audit_calls,avg_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_e2e_latency_ms,p95_e2e_latency_ms,p99_e2e_latency_ms,avg_raw_latency_ms,p95_raw_latency_ms,api_call_count,api_request_attempt_count,api_error_count,api_fallback_count,api_error_rate,ttft_observed_rate,avg_api_ttft_ms,p95_api_ttft_ms,p99_api_ttft_ms,avg_api_e2e_ms,p95_api_e2e_ms,p99_api_e2e_ms,total_prompt_tokens,total_completion_tokens,total_tokens,avg_prompt_tokens_per_call,avg_completion_tokens_per_call,avg_tokens_per_call,stage_pass,notes
policy,static_threshold,ALL,24,0.596667,0.041667,0.0,0.666667,0.291667,0.958333,1.25,2,0.958333,0.0,16.791667,17.0,17.0,43.516829,48.0181,48.0229,0.016829,0.0248,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,False,
risk_level,static_threshold,low,6,0.241667,0.166667,0.0,0.833333,0.0,0.833333,0.833333,1,0.833333,0.0,16.166667,17.0,17.0,41.02195,42.0248,42.0248,0.02195,0.0328,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,False,
risk_level,static_threshold,medium,6,0.445,0.0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.0,17.0,17.0,17.0,42.01475,42.0203,42.0203,0.01475,0.0203,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,False,
risk_level,static_threshold,high,6,0.781667,0.0,0.0,0.833333,0.166667,1.0,1.166667,2,1.0,0.0,17.0,17.0,17.0,43.0155,48.0229,48.0229,0.0155,0.0229,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,False,
risk_level,static_threshold,critical,6,0.918333,0.0,0.0,0.0,1.0,1.0,2.0,2,1.0,0.0,17.0,17.0,17.0,48.015117,48.0181,48.0181,0.015117,0.0181,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,False,
policy,dynamic_arbitration,ALL,24,0.653056,0.25,0.208333,0.041667,0.5,0.75,2.291667,4,0.75,0.5,264.061008,623.7312,968.4862,328.81615,721.478,1059.863,0.035462,0.0646,12,12,0,0,0.0,1.0,496.622017,951.4862,951.4862,558.061375,999.8474,999.8474,1845,24,1869,153.75,2.0,155.75,False,
risk_level,dynamic_arbitration,low,6,0.18233,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,12.0,12.0,36.021933,36.0373,36.0373,0.021933,0.0373,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,False,
risk_level,dynamic_arbitration,medium,6,0.486326,0.0,0.833333,0.166667,0.0,1.0,1.166667,2,1.0,0.0,17.0,17.0,17.0,43.018183,48.0151,48.0151,0.018183,0.0292,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,False,
risk_level,dynamic_arbitration,high,6,0.953211,0.0,0.0,0.0,1.0,1.0,4.0,4,1.0,1.0,597.769967,968.4862,968.4862,694.5198,1059.863,1059.863,0.0476,0.0646,6,6,0,0,0.0,1.0,580.769967,951.4862,951.4862,634.4722,999.8474,999.8474,910,12,922,151.666667,2.0,153.666667,False,
risk_level,dynamic_arbitration,critical,6,0.990357,0.0,0.0,0.0,1.0,1.0,4.0,4,1.0,1.0,429.474067,532.6966,532.6966,541.704683,638.9226,638.9226,0.054133,0.1185,6,6,0,0,0.0,1.0,412.474067,515.6966,515.6966,481.65055,578.8856,578.8856,935,12,947,155.833333,2.0,157.833333,False,
stage_gate,dynamic_arbitration,ALL,24,0.653056,0.25,0.208333,0.041667,0.5,0.75,2.291667,4,0.75,0.5,264.061008,623.7312,968.4862,328.81615,721.478,1059.863,0.035462,0.0646,12,12,0,0,0.0,1.0,496.622017,951.4862,951.4862,558.061375,999.8474,999.8474,1845,24,1869,153.75,2.0,155.75,True,P7.6 arbitration latency passed
