split,attack_type,count,label_values,work_focus_values,requires_action_audit_count,hard_negative_count,unseen_payload_template_count
benchmark,clean,50,clean,clean,0,35,0
benchmark,plain,40,attack,perception,0,0,0
benchmark,html_hidden,50,attack,perception,0,0,0
benchmark,adversarial_suffix,40,attack,perception,0,0,0
benchmark,fake_system,30,attack,perception,0,0,0
benchmark,leakage,30,attack,dual_loop,30,0,0
benchmark,logic_trap,30,attack,dual_loop,30,0,0
benchmark,mixed,30,attack,arbitration,30,0,0
train,clean,35,clean,clean,0,35,0
train,plain,28,attack,perception,0,0,0
train,html_hidden,35,attack,perception,0,0,0
train,adversarial_suffix,28,attack,perception,0,0,0
train,fake_system,21,attack,perception,0,0,0
train,leakage,21,attack,dual_loop,21,0,0
train,logic_trap,21,attack,dual_loop,21,0,0
train,mixed,21,attack,arbitration,21,0,0
valid,clean,8,clean,clean,0,0,0
valid,plain,6,attack,perception,0,0,0
valid,html_hidden,8,attack,perception,0,0,0
valid,adversarial_suffix,6,attack,perception,0,0,0
valid,fake_system,4,attack,perception,0,0,0
valid,leakage,4,attack,dual_loop,4,0,0
valid,logic_trap,4,attack,dual_loop,4,0,0
valid,mixed,5,attack,arbitration,5,0,0
test,clean,7,clean,clean,0,0,0
test,plain,6,attack,perception,0,0,1
test,html_hidden,7,attack,perception,0,0,1
test,adversarial_suffix,6,attack,perception,0,0,1
test,fake_system,5,attack,perception,0,0,1
test,leakage,5,attack,dual_loop,5,0,1
test,logic_trap,5,attack,dual_loop,5,0,1
test,mixed,4,attack,arbitration,4,0,1
stage_gate,ALL,300,attack;clean,arbitration;clean;dual_loop;perception,90,35,7
