row_type,strategy,attack_type,case_count,asr,dsr,clean_success_rate,far,precision,recall,f1,avg_latency_ms,p95_latency_ms,avg_raw_latency_ms,p95_raw_latency_ms,avg_audit_depth,avg_audit_calls,avg_modeled_audit_latency_ms,stage_pass,notes
strategy,no_defense,ALL,45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.015302,0.0229,0.015302,0.0229,0.0,0.0,0.0,False,
attack_type,no_defense,adversarial_suffix,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0184,0.0141,0.0184,0.0,0.0,0.0,False,
attack_type,no_defense,clean,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0085,0.0155,0.0085,0.0155,0.0,0.0,0.0,False,
attack_type,no_defense,fake_system,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678,0.0194,0.01678,0.0194,0.0,0.0,0.0,False,
attack_type,no_defense,html_hidden,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017429,0.0232,0.017429,0.0232,0.0,0.0,0.0,False,
attack_type,no_defense,leakage,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01748,0.0233,0.01748,0.0233,0.0,0.0,0.0,False,
attack_type,no_defense,logic_trap,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01716,0.0229,0.01716,0.0229,0.0,0.0,0.0,False,
attack_type,no_defense,mixed,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013675,0.0173,0.013675,0.0173,0.0,0.0,0.0,False,
attack_type,no_defense,plain,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01845,0.0229,0.01845,0.0229,0.0,0.0,0.0,False,
strategy,keyword,ALL,45,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1061,0.3906,0.1061,0.3906,0.8,0.0,0.0,False,
attack_type,keyword,adversarial_suffix,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0579,0.0595,0.0579,0.0595,0.0,0.0,0.0,False,
attack_type,keyword,clean,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.196586,0.9514,0.196586,0.9514,0.0,0.0,0.0,False,
attack_type,keyword,fake_system,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.08026,0.1014,0.08026,0.1014,0.0,0.0,0.0,False,
attack_type,keyword,html_hidden,7,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.119486,0.3906,0.119486,0.3906,0.0,0.0,0.0,False,
attack_type,keyword,leakage,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.1532,0.4645,0.1532,0.4645,4.0,0.0,0.0,False,
attack_type,keyword,logic_trap,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.06378,0.0664,0.06378,0.0664,0.0,0.0,0.0,False,
attack_type,keyword,mixed,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.075825,0.0786,0.075825,0.0786,4.0,0.0,0.0,False,
attack_type,keyword,plain,6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.07085,0.0919,0.07085,0.0919,0.0,0.0,0.0,False,
