row_type,method,attack_type,case_count,precision,recall,f1,auroc,span_accuracy,avg_latency_ms,p95_latency_ms,avg_latency_per_1k_chars_ms,stage_pass,notes
overall,keyword,ALL,31,1.0,1.0,1.0,1.0,1.0,0.144674,0.2055,0.803094,False,
attack_type,keyword,adversarial_suffix,13,1.0,1.0,1.0,1.0,1.0,0.184069,1.355,1.142818,False,
attack_type,keyword,clean,7,0.0,0.0,0.0,0.0,0.0,0.257514,1.355,1.684497,False,
attack_type,keyword,fake_system,12,1.0,1.0,1.0,1.0,1.0,0.19665,1.355,1.204121,False,
attack_type,keyword,html_hidden,14,1.0,1.0,1.0,1.0,1.0,0.184586,1.355,1.098685,False,
attack_type,keyword,plain,13,1.0,1.0,1.0,1.0,1.0,0.1966,1.355,1.198666,False,
overall,single_classifier,ALL,31,0.96,1.0,0.979592,1.0,1.0,0.363448,0.4124,2.02169,False,
attack_type,single_classifier,adversarial_suffix,13,0.857143,1.0,0.923077,1.0,1.0,0.457931,3.7163,2.865269,False,
attack_type,single_classifier,clean,7,0.0,0.0,0.0,0.0,0.0,0.672729,3.7163,4.398898,False,
attack_type,single_classifier,fake_system,12,0.833333,1.0,0.909091,1.0,1.0,0.520917,3.7163,3.179699,False,
attack_type,single_classifier,html_hidden,14,0.875,1.0,0.933333,1.0,1.0,0.486164,3.7163,2.88742,False,
attack_type,single_classifier,plain,13,0.857143,1.0,0.923077,1.0,1.0,0.491062,3.7163,3.016959,False,
overall,window_classifier,ALL,31,0.96,1.0,0.979592,1.0,1.0,0.245674,0.3671,1.264705,False,
attack_type,window_classifier,adversarial_suffix,13,0.857143,1.0,0.923077,1.0,1.0,0.209231,0.33,1.214441,False,
attack_type,window_classifier,clean,7,0.0,0.0,0.0,0.0,0.0,0.176486,0.2381,1.15552,False,
attack_type,window_classifier,fake_system,12,0.833333,1.0,0.909091,1.0,1.0,0.208483,0.2656,1.177621,False,
attack_type,window_classifier,html_hidden,14,0.875,1.0,0.933333,1.0,1.0,0.232107,0.4011,1.238514,False,
attack_type,window_classifier,plain,13,0.857143,1.0,0.923077,1.0,1.0,0.219292,0.3671,1.247185,False,
overall,fusion,ALL,31,0.96,1.0,0.979592,1.0,1.0,0.292097,0.4905,1.495096,False,
attack_type,fusion,adversarial_suffix,13,0.857143,1.0,0.923077,1.0,1.0,0.219538,0.2502,1.284526,False,
attack_type,fusion,clean,7,0.0,0.0,0.0,0.0,0.0,0.198443,0.2189,1.299315,False,
attack_type,fusion,fake_system,12,0.833333,1.0,0.909091,1.0,1.0,0.237642,0.2996,1.339454,False,
attack_type,fusion,html_hidden,14,0.875,1.0,0.933333,1.0,1.0,0.289321,0.5001,1.522669,False,
attack_type,fusion,plain,13,0.857143,1.0,0.923077,1.0,1.0,0.266623,0.4261,1.503379,False,
stage_gate,fusion,ALL,31,0.96,1.0,0.979592,1.0,1.0,0.292097,0.4905,1.495096,True,P7.2 perception comparison passed
